Date,Lat,Lng,City,Country,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
6/13/2018,-43.53,172.64,Christchurch,NZ,100,93,48.2,8.05
6/13/2018,43.74,-81.71,Goderich,CA,32,88,68.17,11.45
6/13/2018,61.11,44.83,Kizema,RU,56,66,53.86,18.39
6/13/2018,-20.21,57.76,Quatre Cocos,MU,75,69,75.2,14.99
6/13/2018,32.16,71.27,Kalur Kot,PK,44,41,91.03,1.95
6/13/2018,-8.11,115.08,Singaraja,ID,64,100,66.73,1.95
6/13/2018,-29.95,-71.34,Coquimbo,CL,0,62,53.6,8.05
6/13/2018,65.96,78.37,Urengoy,RU,12,59,69.25,12.24
6/13/2018,40.38,70.82,Yaypan,UZ,24,43,76.54,3.62
6/13/2018,37.57,126.98,Seoul,KR,75,68,71.6,3.36
6/13/2018,-6.09,-39.45,Acopiara,BR,0,51,83.2,11.23
6/13/2018,-38.38,142.48,Warrnambool,AU,76,100,51.43,17.72
6/13/2018,10.93,108.1,Phan Thiet,VN,36,100,78.61,10
6/13/2018,-4.33,20.59,Ilebo,CD,12,22,94.72,5.19
6/13/2018,35.24,129.21,Kijang,KR,40,72,68,13.87
6/13/2018,55.82,37.34,Krasnogorsk,RU,75,59,69.8,13.42
6/13/2018,50.56,-96.99,Husavik,CA,44,72,67.27,7.31
6/13/2018,18.9,-3.53,Araouane,ML,0,15,111.46,5.75
6/13/2018,60.47,166.1,Tilichiki,RU,0,88,37.93,2.62
6/13/2018,4.19,19.88,Bosobolo,CD,20,70,84.19,6.42
6/13/2018,39.27,-2.6,Villarrobledo,ES,0,28,76.99,12.01
6/13/2018,38.52,-28.7,Ribeira Grande,PT,40,83,75.2,11.41
6/13/2018,-18.36,21.84,Shakawe,BW,0,23,73.93,5.19
6/13/2018,43.32,145.57,Nemuro,JP,80,100,48.64,17.83
6/13/2018,10.09,-84.73,Miramar,CR,0,61,80.6,3.36
6/13/2018,30.29,57.06,Kerman,IR,20,5,91.4,13.87
6/13/2018,35.5,-80.85,Davidson,US,40,65,78.8,4.7
6/13/2018,70.24,22.35,Oksfjord,NO,40,65,46.4,10.29
6/13/2018,7.35,80.68,Wattegama,LK,92,97,71.41,5.75
6/13/2018,-6.72,32.06,Inyonga,TZ,0,32,79.42,3.18
6/13/2018,39.45,22.34,Saint George,GR,40,54,80.6,8.05
6/13/2018,35.03,10.91,Jabinyanah,TN,0,47,80.6,13.87
6/13/2018,18.1,78.85,Siddipet,IN,56,58,84.1,11.68
6/13/2018,38.73,-27.07,Praia Da Vitoria,PT,40,78,75.2,10.22
6/13/2018,46.77,-92.13,Duluth,US,1,46,73.4,8.05
6/13/2018,13.07,-59.53,Oistins,BB,20,66,86,25.28
6/13/2018,9.74,-75.52,San Onofre,CO,0,93,86.44,5.3
6/13/2018,33.19,-82.53,Avera,US,90,83,78.8,3.74
6/13/2018,33.94,71.55,Alizai,PK,0,30,89.77,3.29
6/13/2018,26.23,66.31,Bela,PK,36,29,93.37,10.33
6/13/2018,33.49,72.96,Kalas,PK,0,25,98.6,4.97
6/13/2018,-38.66,178.02,Gisborne,NZ,12,86,52.6,10.67
6/13/2018,57.32,43.11,Yuryevets,RU,24,69,60.7,15.03
6/13/2018,-24.87,152.35,Bundaberg,AU,88,100,64.66,12.01
6/13/2018,-34.29,146.06,Griffith,AU,80,90,50.62,8.88
